"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-28","0.00","66","38","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-29","0.00","62","38","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-30","0.00","61","54","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-01","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-02","0.00","58","49","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-03","0.00","57","50","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-04","0.00","57","50","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-05","0.00","56","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-06","0.00","63","53","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-07","0.00","63","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-08","0.00","63","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-09","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-10","0.00","59","55","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-11","0.00","60","53","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-12","0.00","61","54","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-13","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-14","0.00","63","56","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-15","0.00","60","55","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-16","0.00","60","55","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-17","0.00","60","55","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-18","0.00","60","54","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-19","0.00","60","54","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-20","0.00","63","53","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-21","0.00","62","58","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-22","0.00","64","58","63"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-23","0.00","63","57","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-24","0.00","61","51","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-25","0.00","59","55","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-26","0.00","59","53","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-27","0.00","57","53","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-28","0.00","57","32","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-29","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-30","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-31","0.00","60","50","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-01","0.00","57","51","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-02","0.00","59","50","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-03","0.00","61","31","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-04","0.00","61","44","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-05","0.00","61","44","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-06","0.00","57","54","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-07","0.00","56","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-08","0.00","56","52","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-09","0.00","56","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-10","0.00","57","52","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-11","0.00","62","52","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-12","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-13","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-14","0.00","63","52","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-15","0.00","61","57","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-16","0.00","62","56","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-17","0.00","62","55","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-18","0.00","59","51","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-19","0.00","58","52","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-20","0.00","57","53","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-21","0.00","60","54","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-22","0.00","62","54","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-23","0.00","63","54","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-24","0.00","63","54","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-25","0.00","59","46","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-26","0.00","59","41","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-27","0.00",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-28","0.01","59","40","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-29","0.00","59","47","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-30","0.00","56","49","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-31","0.00","62","41","62"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-01","0.00","62","41","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-02","0.00","62","41","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-03","0.00","62","41","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-04","0.00","62","40","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-05","0.00","60","40","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-06","0.06",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-09-07","0.00","62","41","58"
